Issued To	Issued By	Expiration Date	Intended Purposes	Friendly Name	Status	Certificate Template
2001:0:2841:f634:10cb:299b:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/26/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:2841:f634:2ccc:37b8:3f57:fff1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/17/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:2841:f634:4a9:3f6f:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/21/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:2841:f634:c7d:37b8:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/17/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:349e:d136:341d:3c57:519a:d2e9	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/29/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:349e:d136:c8a:3c57:b8bc:75e0	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/8/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:34a2:52f8:1006:24fd:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/10/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:34a2:52f8:1006:3c32:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/20/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:34a2:52f8:1087:a42:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/15/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:34a2:52f8:1403:28d6:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/10/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:34a2:52f8:1479:3ad:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/29/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:34a2:52f8:28e2:7e0:519a:d2e9	Microsoft Windows Web Management (Test) (KayCoinsUSA)	9/17/2023	Server Authentication, Client Authentication	<None>	    	
